goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/worker-pool
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkPond/SHA256=1kB/Concurrency=50-2         	 1000000	      1747 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=1kB/Concurrency=50-2         	 1000000	      1543 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=1kB/Concurrency=50-2         	 1000000	      2179 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=1kB/Concurrency=100-2        	 1000000	      1479 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=1kB/Concurrency=100-2        	 1000000	      1444 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=1kB/Concurrency=100-2        	 1000000	      1378 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=1kB/Concurrency=100-2        	 1000000	      1601 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=1kB/Concurrency=100-2        	 1000000	      1353 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=1-2          	 1000000	      4855 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=1-2          	 1000000	      5338 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=1-2          	 1000000	      4792 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=1-2          	 1000000	      4914 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=1-2          	 1000000	      4850 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=10-2         	 1000000	      4268 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=10-2         	 1000000	      4255 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=10-2         	 1000000	      4247 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=10-2         	 1000000	      4382 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=10-2         	 1000000	      4088 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=50-2         	 1000000	      4005 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=50-2         	 1000000	      4204 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=50-2         	 1000000	      4042 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=50-2         	 1000000	      4069 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=50-2         	 1000000	      3952 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=100-2        	 1000000	      4006 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=100-2        	 1000000	      4041 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=100-2        	 1000000	      4148 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=100-2        	 1000000	      4331 ns/op	     483 B/op	      10 allocs/op
BenchmarkPond/SHA256=8kB/Concurrency=100-2        	 1000000	      4045 ns/op	     483 B/op	      10 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=1-2       	 1000000	       906.8 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=1-2       	 1000000	       810.0 ns/op	     104 B/op	       1 allocs/op
