goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-expression-evaluation
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkGoja/Complex/Evaluate-2       	   10000	       274.9 ns/op	      96 B/op	       2 allocs/op
BenchmarkEvalFilter/Simple/Compile-2   	   10000	     14651 ns/op	   14106 B/op	     189 allocs/op
BenchmarkEvalFilter/Simple/Compile-2   	   10000	     13956 ns/op	   14109 B/op	     189 allocs/op
BenchmarkEvalFilter/Simple/Compile-2   	   10000	     14020 ns/op	   14110 B/op	     189 allocs/op
BenchmarkEvalFilter/Simple/Compile-2   	   10000	     14692 ns/op	   14100 B/op	     189 allocs/op
BenchmarkEvalFilter/Simple/Compile-2   	   10000	     16564 ns/op	   14102 B/op	     189 allocs/op
BenchmarkEvalFilter/Simple/Evaluate-2  	   10000	       705.7 ns/op	     608 B/op	      15 allocs/op
BenchmarkEvalFilter/Simple/Evaluate-2  	   10000	       755.9 ns/op	     608 B/op	      15 allocs/op
BenchmarkEvalFilter/Simple/Evaluate-2  	   10000	       773.3 ns/op	     608 B/op	      15 allocs/op
BenchmarkEvalFilter/Simple/Evaluate-2  	   10000	       768.8 ns/op	     608 B/op	      15 allocs/op
BenchmarkEvalFilter/Simple/Evaluate-2  	   10000	       735.0 ns/op	     608 B/op	      15 allocs/op
BenchmarkEvalFilter/Complex/Compile-2  	   10000	     21280 ns/op	   17646 B/op	     311 allocs/op
BenchmarkEvalFilter/Complex/Compile-2  	   10000	     21240 ns/op	   17645 B/op	     311 allocs/op
BenchmarkEvalFilter/Complex/Compile-2  	   10000	     20461 ns/op	   17636 B/op	     311 allocs/op
BenchmarkEvalFilter/Complex/Compile-2  	   10000	     21042 ns/op	   17647 B/op	     311 allocs/op
BenchmarkEvalFilter/Complex/Compile-2  	   10000	     21000 ns/op	   17637 B/op	     311 allocs/op
BenchmarkEvalFilter/Complex/Evaluate-2 	   10000	      1093 ns/op	     680 B/op	      17 allocs/op
BenchmarkEvalFilter/Complex/Evaluate-2 	   10000	      1245 ns/op	     680 B/op	      17 allocs/op
BenchmarkEvalFilter/Complex/Evaluate-2 	   10000	      1069 ns/op	     680 B/op	      17 allocs/op
BenchmarkEvalFilter/Complex/Evaluate-2 	   10000	      1074 ns/op	     680 B/op	      17 allocs/op
BenchmarkEvalFilter/Complex/Evaluate-2 	   10000	      1099 ns/op	     680 B/op	      17 allocs/op
BenchmarkBExpr/Simple/Compile-2        	   10000	     34017 ns/op	   26555 B/op	     437 allocs/op
BenchmarkBExpr/Simple/Compile-2        	   10000	     33845 ns/op	   26554 B/op	     437 allocs/op
BenchmarkBExpr/Simple/Compile-2        	   10000	     34877 ns/op	   26556 B/op	     437 allocs/op
BenchmarkBExpr/Simple/Compile-2        	   10000	     33149 ns/op	   26556 B/op	     437 allocs/op
BenchmarkBExpr/Simple/Compile-2        	   10000	     38234 ns/op	   26556 B/op	     437 allocs/op
BenchmarkBExpr/Simple/Evaluate-2       	   10000	       610.2 ns/op	     336 B/op	      15 allocs/op
BenchmarkBExpr/Simple/Evaluate-2       	   10000	       565.3 ns/op	     336 B/op	      15 allocs/op
BenchmarkBExpr/Simple/Evaluate-2       	   10000	       602.5 ns/op	     336 B/op	      15 allocs/op
BenchmarkBExpr/Simple/Evaluate-2       	   10000	       567.1 ns/op	     336 B/op	      15 allocs/op
BenchmarkBExpr/Simple/Evaluate-2       	   10000	       635.2 ns/op	     336 B/op	      15 allocs/op
BenchmarkBExpr/Complex/Compile-2       	   10000	    122288 ns/op	   70013 B/op	    1289 allocs/op
BenchmarkBExpr/Complex/Compile-2       	   10000	    140765 ns/op	   70012 B/op	    1289 allocs/op
BenchmarkBExpr/Complex/Compile-2       	   10000	    107306 ns/op	   70013 B/op	    1289 allocs/op
BenchmarkBExpr/Complex/Compile-2       	   10000	    131757 ns/op	   70012 B/op	    1289 allocs/op
BenchmarkBExpr/Complex/Compile-2       	   10000	    134156 ns/op	   70012 B/op	    1289 allocs/op
BenchmarkBExpr/Complex/Evaluate-2      	   10000	      1583 ns/op	     752 B/op	      38 allocs/op
BenchmarkBExpr/Complex/Evaluate-2      	   10000	      1510 ns/op	     752 B/op	      38 allocs/op
BenchmarkBExpr/Complex/Evaluate-2      	   10000	      1589 ns/op	     752 B/op	      38 allocs/op
BenchmarkBExpr/Complex/Evaluate-2      	   10000	      1512 ns/op	     752 B/op	      38 allocs/op
BenchmarkBExpr/Complex/Evaluate-2      	   10000	      1821 ns/op	     752 B/op	      38 allocs/op
BenchmarkGoValuate/Simple/Compile-2    	   10000	      3473 ns/op	    2384 B/op	      69 allocs/op
BenchmarkGoValuate/Simple/Compile-2    	   10000	      3486 ns/op	    2384 B/op	      69 allocs/op
BenchmarkGoValuate/Simple/Compile-2    	   10000	      3460 ns/op	    2384 B/op	      69 allocs/op
BenchmarkGoValuate/Simple/Compile-2    	   10000	      3480 ns/op	    2384 B/op	      69 allocs/op
BenchmarkGoValuate/Simple/Compile-2    	   10000	      3782 ns/op	    2384 B/op	      69 allocs/op
BenchmarkGoValuate/Simple/Evaluate-2   	   10000	       171.5 ns/op	     112 B/op	       3 allocs/op
BenchmarkGoValuate/Simple/Evaluate-2   	   10000	       165.1 ns/op	     112 B/op	       3 allocs/op
BenchmarkGoValuate/Simple/Evaluate-2   	   10000	       155.7 ns/op	     112 B/op	       3 allocs/op
BenchmarkGoValuate/Simple/Evaluate-2   	   10000	       173.2 ns/op	     112 B/op	       3 allocs/op
BenchmarkGoValuate/Simple/Evaluate-2   	   10000	       161.0 ns/op	     112 B/op	       3 allocs/op
BenchmarkGoValuate/Complex/Compile-2   	   10000	     17467 ns/op	   12024 B/op	     291 allocs/op
BenchmarkGoValuate/Complex/Compile-2   	   10000	     17052 ns/op	   12024 B/op	     291 allocs/op
BenchmarkGoValuate/Complex/Compile-2   	   10000	     18219 ns/op	   12024 B/op	     291 allocs/op
BenchmarkGoValuate/Complex/Compile-2   	   10000	     20031 ns/op	   12024 B/op	     291 allocs/op
BenchmarkGoValuate/Complex/Compile-2   	   10000	     17656 ns/op	   12024 B/op	     291 allocs/op
BenchmarkGoValuate/Complex/Evaluate-2  	   10000	       462.8 ns/op	     160 B/op	       6 allocs/op
BenchmarkGoValuate/Complex/Evaluate-2  	   10000	       487.3 ns/op	     160 B/op	       6 allocs/op
BenchmarkGoValuate/Complex/Evaluate-2  	   10000	       441.1 ns/op	     160 B/op	       6 allocs/op
BenchmarkGoValuate/Complex/Evaluate-2  	   10000	       427.7 ns/op	     160 B/op	       6 allocs/op
BenchmarkGoValuate/Complex/Evaluate-2  	   10000	       461.3 ns/op	     160 B/op	       6 allocs/op
BenchmarkGVAL/Simple/Compile-2         	   10000	      1805 ns/op	    1944 B/op	      23 allocs/op
BenchmarkGVAL/Simple/Compile-2         	   10000	      1723 ns/op	    1944 B/op	      23 allocs/op
BenchmarkGVAL/Simple/Compile-2         	   10000	      1704 ns/op	    1944 B/op	      23 allocs/op
BenchmarkGVAL/Simple/Compile-2         	   10000	      1723 ns/op	    1944 B/op	      23 allocs/op
BenchmarkGVAL/Simple/Compile-2         	   10000	      1700 ns/op	    1944 B/op	      23 allocs/op
BenchmarkGVAL/Simple/Evaluate-2        	   10000	       601.6 ns/op	     328 B/op	      12 allocs/op
BenchmarkGVAL/Simple/Evaluate-2        	   10000	       600.5 ns/op	     328 B/op	      12 allocs/op
BenchmarkGVAL/Simple/Evaluate-2        	   10000	       570.3 ns/op	     328 B/op	      12 allocs/op
BenchmarkGVAL/Simple/Evaluate-2        	   10000	       604.9 ns/op	     328 B/op	      12 allocs/op
BenchmarkGVAL/Simple/Evaluate-2        	   10000	       583.1 ns/op	     328 B/op	      12 allocs/op
BenchmarkGVAL/Complex/Compile-2        	   10000	      7347 ns/op	    3984 B/op	     113 allocs/op
BenchmarkGVAL/Complex/Compile-2        	   10000	      7388 ns/op	    3984 B/op	     113 allocs/op
BenchmarkGVAL/Complex/Compile-2        	   10000	      7390 ns/op	    3984 B/op	     113 allocs/op
BenchmarkGVAL/Complex/Compile-2        	   10000	      7406 ns/op	    3984 B/op	     113 allocs/op
BenchmarkGVAL/Complex/Compile-2        	   10000	      7447 ns/op	    3984 B/op	     113 allocs/op
BenchmarkGVAL/Complex/Evaluate-2       	   10000	      2220 ns/op	    1112 B/op	      45 allocs/op
BenchmarkGVAL/Complex/Evaluate-2       	   10000	      2228 ns/op	    1112 B/op	      45 allocs/op
BenchmarkGVAL/Complex/Evaluate-2       	   10000	      2318 ns/op	    1112 B/op	      45 allocs/op
BenchmarkGVAL/Complex/Evaluate-2       	   10000	      2270 ns/op	    1112 B/op	      45 allocs/op
BenchmarkGVAL/Complex/Evaluate-2       	   10000	      2209 ns/op	    1112 B/op	      45 allocs/op
BenchmarkOtto/Simple/Compile-2         	   10000	      1283 ns/op	     992 B/op	      23 allocs/op
BenchmarkOtto/Simple/Compile-2         	   10000	      1236 ns/op	     992 B/op	      23 allocs/op
BenchmarkOtto/Simple/Compile-2         	   10000	      1539 ns/op	     992 B/op	      23 allocs/op
BenchmarkOtto/Simple/Compile-2         	   10000	      1250 ns/op	     992 B/op	      23 allocs/op
BenchmarkOtto/Simple/Compile-2         	   10000	      1247 ns/op	     992 B/op	      23 allocs/op
BenchmarkOtto/Simple/Evaluate-2        	   10000	       311.3 ns/op	     240 B/op	       4 allocs/op
BenchmarkOtto/Simple/Evaluate-2        	   10000	       336.6 ns/op	     240 B/op	       4 allocs/op
BenchmarkOtto/Simple/Evaluate-2        	   10000	       326.3 ns/op	     240 B/op	       4 allocs/op
