goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/kafkaclient
cpu: Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz
BenchmarkConsumer/05KB/Franz@ConsumeRecord-8           	   10000	     34473 ns/op	    5728 B/op	       4 allocs/op
BenchmarkConsumer/05KB/Franz@ConsumeRecord-8           	   10000	     37355 ns/op	    5929 B/op	       4 allocs/op
BenchmarkConsumer/05KB/Franz@ConsumeRecord-8           	   10000	     35762 ns/op	    5629 B/op	       4 allocs/op
BenchmarkConsumer/05KB/Franz@ConsumeRecord-8           	   10000	     35626 ns/op	    5739 B/op	       4 allocs/op
BenchmarkConsumer/05KB/Franz@ConsumePartition-8        	   10000	     35316 ns/op	    5711 B/op	       3 allocs/op
BenchmarkConsumer/05KB/Franz@ConsumePartition-8        	   10000	     37001 ns/op	    5815 B/op	       3 allocs/op
BenchmarkConsumer/05KB/Franz@ConsumePartition-8        	   10000	     34582 ns/op	    5495 B/op	       3 allocs/op
BenchmarkConsumer/05KB/Franz@ConsumePartition-8        	   10000	     34591 ns/op	    5604 B/op	       3 allocs/op
BenchmarkConsumer/05KB/Franz@ConsumePartition-8        	   10000	     31630 ns/op	    5607 B/op	       3 allocs/op
BenchmarkConsumer/05KB/Goka@Consumer-8                 	   10000	       187.9 ns/op	      15 B/op	       0 allocs/op
BenchmarkConsumer/05KB/Goka@Consumer-8                 	   10000	       205.5 ns/op	      13 B/op	       0 allocs/op
BenchmarkConsumer/05KB/Goka@Consumer-8                 	   10000	       214.1 ns/op	     124 B/op	       0 allocs/op
BenchmarkConsumer/05KB/Goka@Consumer-8                 	   10000	       196.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/05KB/Goka@Consumer-8                 	   10000	       193.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/05KB/Sarama@ConsumerGroup-8          	   10000	       216.1 ns/op	       1 B/op	       0 allocs/op
BenchmarkConsumer/05KB/Sarama@ConsumerGroup-8          	   10000	       227.8 ns/op	       1 B/op	       0 allocs/op
BenchmarkConsumer/05KB/Sarama@ConsumerGroup-8          	   10000	       198.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/05KB/Sarama@ConsumerGroup-8          	   10000	       206.7 ns/op	      11 B/op	       0 allocs/op
BenchmarkConsumer/05KB/Sarama@ConsumerGroup-8          	   10000	       210.2 ns/op	       1 B/op	       0 allocs/op
BenchmarkConsumer/05KB/Sarama@ConsumePartition-8       	   10000	       429.3 ns/op	       5 B/op	       0 allocs/op
BenchmarkConsumer/05KB/Sarama@ConsumePartition-8       	   10000	       358.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/05KB/Sarama@ConsumePartition-8       	   10000	       416.7 ns/op	       3 B/op	       0 allocs/op
