goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/kafka-client
cpu: Intel(R) Core(TM) i7-7660U CPU @ 2.50GHz
BenchmarkProducer/5KB_-_Confluent@ProduceSync         	   10000	   9061122 ns/op	   16987 B/op	      34 allocs/op
BenchmarkProducer/5KB_-_Confluent@ProduceSync         	   10000	   9194392 ns/op	   16958 B/op	      34 allocs/op
BenchmarkProducer/5KB_-_Confluent@ProduceSync         	   10000	   9100862 ns/op	   16977 B/op	      34 allocs/op
BenchmarkProducer/5KB_-_Confluent@ProduceAsync         	   10000	     88892 ns/op	   16523 B/op	      19 allocs/op
BenchmarkProducer/5KB_-_Confluent@ProduceAsync         	   10000	     37842 ns/op	   16522 B/op	      19 allocs/op
BenchmarkProducer/5KB_-_Confluent@ProduceAsync         	   10000	     36548 ns/op	   16523 B/op	      19 allocs/op
BenchmarkProducer/5KB_-_Confluent@ProduceAsync         	   10000	     37268 ns/op	   16522 B/op	      19 allocs/op
BenchmarkProducer/5KB_-_Confluent@ProduceAsync         	   10000	     33802 ns/op	   16532 B/op	      19 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceSync             	   10000	   1897757 ns/op	   13207 B/op	      53 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceSync             	   10000	   2182190 ns/op	   13231 B/op	      53 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceSync             	   10000	   2167920 ns/op	   13215 B/op	      53 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceSync             	   10000	   2183571 ns/op	   13195 B/op	      53 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceSync             	   10000	   2179190 ns/op	   13218 B/op	      53 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceAsync             	   10000	     10478 ns/op	   14089 B/op	       9 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceAsync             	   10000	      8501 ns/op	   13819 B/op	       9 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceAsync             	   10000	      7289 ns/op	   13657 B/op	       9 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceAsync             	   10000	      7638 ns/op	   13933 B/op	       9 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceAsync             	   10000	      8031 ns/op	   13236 B/op	       9 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceSync              	   10000	 106771530 ns/op	   29312 B/op	     109 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceSync              	   10000	 106919281 ns/op	   29321 B/op	     109 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceSync              	   10000	 106946496 ns/op	   29334 B/op	     109 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceSync              	   10000	 107064448 ns/op	   29360 B/op	     109 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceSync              	   10000	 106662306 ns/op	   29343 B/op	     109 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceAsync              	   10000	     10094 ns/op	   23471 B/op	      20 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceAsync              	   10000	      7165 ns/op	   23626 B/op	      21 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceAsync              	   10000	      6516 ns/op	   23653 B/op	      21 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceAsync              	   10000	      5967 ns/op	   23698 B/op	      21 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceAsync              	   10000	      6514 ns/op	   23745 B/op	      21 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceSync            	   10000	   2814446 ns/op	   26053 B/op	      78 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceSync            	   10000	   2982930 ns/op	   26045 B/op	      78 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceSync            	   10000	   2999073 ns/op	   26016 B/op	      78 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceSync            	   10000	   3005649 ns/op	   26060 B/op	      78 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceSync            	   10000	   2959425 ns/op	   26051 B/op	      78 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceAsync            	   10000	     37463 ns/op	   21925 B/op	      12 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceAsync            	   10000	     33516 ns/op	   21930 B/op	      12 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceAsync            	   10000	     33010 ns/op	   21937 B/op	      12 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceAsync            	   10000	     33279 ns/op	   21922 B/op	      12 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceAsync            	   10000	     33350 ns/op	   21950 B/op	      12 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceSync         	   10000	  12648628 ns/op	   30199 B/op	      48 allocs/op
