goos: darwin
goarch: arm64
pkg: github.com/lkumarjain/benchmark/kafka-client
BenchmarkProducer/5KB_-_Confluent@Produce-8         	    1000	   9943768 ns/op	   17044 B/op	      33 allocs/op
BenchmarkProducer/5KB_-_Confluent@Produce-8         	    1000	   9941141 ns/op	   17158 B/op	      34 allocs/op
BenchmarkProducer/5KB_-_Confluent@Produce-8         	    1000	   9889677 ns/op	   17125 B/op	      34 allocs/op
BenchmarkProducer/5KB_-_Confluent@ProduceChannel-8  	    1000	     79495 ns/op	   16522 B/op	      18 allocs/op
BenchmarkProducer/5KB_-_Confluent@ProduceChannel-8  	    1000	     50655 ns/op	   16522 B/op	      18 allocs/op
BenchmarkProducer/5KB_-_Confluent@ProduceChannel-8  	    1000	     40439 ns/op	   16528 B/op	      18 allocs/op
BenchmarkProducer/5KB_-_Confluent@ProduceChannel-8  	    1000	     39742 ns/op	   16528 B/op	      18 allocs/op
BenchmarkProducer/5KB_-_Confluent@ProduceChannel-8  	    1000	     41695 ns/op	   16528 B/op	      18 allocs/op
BenchmarkProducer/5KB_-_Franz@Produce-8             	    1000	    575962 ns/op	   13186 B/op	      52 allocs/op
BenchmarkProducer/5KB_-_Franz@Produce-8             	    1000	    644368 ns/op	   13229 B/op	      52 allocs/op
BenchmarkProducer/5KB_-_Franz@Produce-8             	    1000	   2822670 ns/op	   13328 B/op	      53 allocs/op
BenchmarkProducer/5KB_-_Franz@Produce-8             	    1000	   3114930 ns/op	   13432 B/op	      53 allocs/op
BenchmarkProducer/5KB_-_Franz@Produce-8             	    1000	   3428674 ns/op	   13327 B/op	      53 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceChannel-8      	    1000	     30994 ns/op	   14104 B/op	       9 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceChannel-8      	    1000	     18851 ns/op	   14671 B/op	       9 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceChannel-8      	    1000	     12979 ns/op	   14739 B/op	       9 allocs/op
