goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/kafkaclient
cpu: Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz
BenchmarkProducer/05KB/Confluent@ProduceSync-8         	   10000	  51215557 ns/op	   17681 B/op	      34 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceSync-8         	   10000	  51051525 ns/op	   17626 B/op	      34 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceSync-8         	   10000	  51061003 ns/op	   17697 B/op	      34 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceAsync-8        	   10000	     11521 ns/op	   16478 B/op	      15 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceAsync-8        	   10000	     10889 ns/op	   16479 B/op	      15 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceAsync-8        	   10000	     15816 ns/op	   16478 B/op	      15 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceAsync-8        	   10000	     10194 ns/op	   16479 B/op	      15 allocs/op
BenchmarkProducer/05KB/Confluent@ProduceAsync-8        	   10000	     11181 ns/op	   16479 B/op	      15 allocs/op
BenchmarkProducer/05KB/Franz@ProduceSync-8             	   10000	   3430735 ns/op	   13541 B/op	      61 allocs/op
BenchmarkProducer/05KB/Franz@ProduceSync-8             	   10000	   3395539 ns/op	   13501 B/op	      61 allocs/op
BenchmarkProducer/05KB/Franz@ProduceSync-8             	   10000	   3403288 ns/op	   13535 B/op	      61 allocs/op
BenchmarkProducer/05KB/Franz@ProduceSync-8             	   10000	   3384969 ns/op	   13504 B/op	      61 allocs/op
BenchmarkProducer/05KB/Franz@ProduceSync-8             	   10000	   3367437 ns/op	   13488 B/op	      61 allocs/op
BenchmarkProducer/05KB/Franz@ProduceAsync-8            	   10000	      6947 ns/op	   13809 B/op	      15 allocs/op
BenchmarkProducer/05KB/Franz@ProduceAsync-8            	   10000	      6680 ns/op	   13163 B/op	      15 allocs/op
BenchmarkProducer/05KB/Franz@ProduceAsync-8            	   10000	      5883 ns/op	   13223 B/op	      15 allocs/op
BenchmarkProducer/05KB/Franz@ProduceAsync-8            	   10000	      5554 ns/op	   13034 B/op	      15 allocs/op
BenchmarkProducer/05KB/Franz@ProduceAsync-8            	   10000	      6101 ns/op	   14610 B/op	      15 allocs/op
BenchmarkProducer/05KB/Goka@ProduceSync-8              	   10000	 103740636 ns/op	   30435 B/op	     117 allocs/op
BenchmarkProducer/05KB/Goka@ProduceSync-8              	   10000	 103735003 ns/op	   30209 B/op	     116 allocs/op
BenchmarkProducer/05KB/Goka@ProduceSync-8              	   10000	 103740269 ns/op	   30284 B/op	     116 allocs/op
BenchmarkProducer/05KB/Goka@ProduceSync-8              	   10000	 103731408 ns/op	   30367 B/op	     118 allocs/op
