goos: darwin
goarch: arm64
pkg: github.com/lkumarjain/benchmark/kafka-client
BenchmarkConsumer/5KB_-_Franz@ConsumeRecord-8           	  100000	     53101 ns/op	    6687 B/op	       2 allocs/op
BenchmarkConsumer/5KB_-_Franz@ConsumeRecord-8           	  100000	     47665 ns/op	    6357 B/op	       2 allocs/op
BenchmarkConsumer/5KB_-_Franz@ConsumeRecord-8           	  100000	     54242 ns/op	    6703 B/op	       2 allocs/op
BenchmarkConsumer/5KB_-_Franz@ConsumeRecord-8           	  100000	     49253 ns/op	    6356 B/op	       2 allocs/op
BenchmarkConsumer/5KB_-_Franz@ConsumeRecord-8           	  100000	     51845 ns/op	    6703 B/op	       2 allocs/op
BenchmarkConsumer/5KB_-_Franz@ConsumePartition-8        	  100000	     47408 ns/op	    6662 B/op	       1 allocs/op
BenchmarkConsumer/5KB_-_Franz@ConsumePartition-8        	  100000	     48153 ns/op	    6333 B/op	       1 allocs/op
BenchmarkConsumer/5KB_-_Franz@ConsumePartition-8        	  100000	     49924 ns/op	    6679 B/op	       1 allocs/op
BenchmarkConsumer/5KB_-_Franz@ConsumePartition-8        	  100000	     48008 ns/op	    6333 B/op	       1 allocs/op
BenchmarkConsumer/5KB_-_Franz@ConsumePartition-8        	  100000	     53723 ns/op	    6679 B/op	       1 allocs/op
BenchmarkConsumer/5KB_-_Goka@Consumer-8                 	  100000	       157.3 ns/op	     335 B/op	       0 allocs/op
BenchmarkConsumer/5KB_-_Goka@Consumer-8                 	  100000	       135.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/5KB_-_Goka@Consumer-8                 	  100000	       138.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/5KB_-_Goka@Consumer-8                 	  100000	       138.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/5KB_-_Goka@Consumer-8                 	  100000	       141.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/5KB_-_Sarama@ConsumerGroup-8          	  100000	       295.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/5KB_-_Sarama@ConsumerGroup-8          	  100000	       160.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/5KB_-_Sarama@ConsumerGroup-8          	  100000	       181.6 ns/op	       0 B/op	       0 allocs/op
