goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-in-memory-cache
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkBigCache/01KB/Remove-2         	  100000	       152.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/01KB/Remove-2         	  100000	       143.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/01KB/Remove-2         	  100000	       140.1 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/05KB/Set-2            	  100000	      2844 ns/op	    5580 B/op	       5 allocs/op
BenchmarkBigCache/05KB/Set-2            	  100000	      2781 ns/op	    5439 B/op	       5 allocs/op
BenchmarkBigCache/05KB/Set-2            	  100000	      3274 ns/op	    5439 B/op	       5 allocs/op
BenchmarkBigCache/05KB/Set-2            	  100000	      3317 ns/op	    5440 B/op	       5 allocs/op
BenchmarkBigCache/05KB/Set-2            	  100000	      3015 ns/op	    5439 B/op	       5 allocs/op
BenchmarkBigCache/05KB/Get-2            	  100000	      1901 ns/op	    2967 B/op	       4 allocs/op
BenchmarkBigCache/05KB/Get-2            	  100000	      1518 ns/op	    2967 B/op	       4 allocs/op
BenchmarkBigCache/05KB/Get-2            	  100000	      1256 ns/op	    2967 B/op	       4 allocs/op
BenchmarkBigCache/05KB/Get-2            	  100000	      1139 ns/op	    2967 B/op	       4 allocs/op
BenchmarkBigCache/05KB/Get-2            	  100000	      1175 ns/op	    2967 B/op	       4 allocs/op
BenchmarkBigCache/05KB/Remove-2         	  100000	       636.9 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/05KB/Remove-2         	  100000	       159.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/05KB/Remove-2         	  100000	       175.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/05KB/Remove-2         	  100000	       162.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/05KB/Remove-2         	  100000	       320.6 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/10KB/Set-2            	  100000	      5943 ns/op	   11249 B/op	       5 allocs/op
BenchmarkBigCache/10KB/Set-2            	  100000	      5825 ns/op	   10944 B/op	       5 allocs/op
BenchmarkBigCache/10KB/Set-2            	  100000	      7030 ns/op	   10944 B/op	       5 allocs/op
BenchmarkBigCache/10KB/Set-2            	  100000	      5699 ns/op	   10944 B/op	       5 allocs/op
BenchmarkBigCache/10KB/Set-2            	  100000	      5802 ns/op	   10944 B/op	       5 allocs/op
BenchmarkBigCache/10KB/Get-2            	  100000	      1052 ns/op	    2943 B/op	       3 allocs/op
BenchmarkBigCache/10KB/Get-2            	  100000	      1000 ns/op	    2943 B/op	       3 allocs/op
BenchmarkBigCache/10KB/Get-2            	  100000	       994.8 ns/op	    2943 B/op	       3 allocs/op
BenchmarkBigCache/10KB/Get-2            	  100000	      1036 ns/op	    2943 B/op	       3 allocs/op
BenchmarkBigCache/10KB/Get-2            	  100000	       916.7 ns/op	    2943 B/op	       3 allocs/op
BenchmarkBigCache/10KB/Remove-2         	  100000	       366.5 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/10KB/Remove-2         	  100000	       181.7 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/10KB/Remove-2         	  100000	       161.3 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/10KB/Remove-2         	  100000	       155.6 ns/op	      39 B/op	       2 allocs/op
BenchmarkBigCache/10KB/Remove-2         	  100000	       147.5 ns/op	      39 B/op	       2 allocs/op
BenchmarkCache2Go/01KB/Set-2            	  100000	      1546 ns/op	    1480 B/op	      10 allocs/op
BenchmarkCache2Go/01KB/Set-2            	  100000	      1084 ns/op	    1399 B/op	       9 allocs/op
BenchmarkCache2Go/01KB/Set-2            	  100000	      1005 ns/op	    1399 B/op	       9 allocs/op
BenchmarkCache2Go/01KB/Set-2            	  100000	      2437 ns/op	    1399 B/op	       9 allocs/op
BenchmarkCache2Go/01KB/Set-2            	  100000	      2009 ns/op	    1399 B/op	       9 allocs/op
BenchmarkCache2Go/01KB/Get-2            	  100000	       384.9 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/01KB/Get-2            	  100000	       293.5 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/01KB/Get-2            	  100000	       278.7 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/01KB/Get-2            	  100000	       313.8 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/01KB/Get-2            	  100000	       411.2 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/01KB/Remove-2         	  100000	       373.9 ns/op	      95 B/op	       5 allocs/op
BenchmarkCache2Go/01KB/Remove-2         	  100000	       163.6 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/01KB/Remove-2         	  100000	       163.9 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/01KB/Remove-2         	  100000	       160.8 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/01KB/Remove-2         	  100000	       169.5 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/05KB/Set-2            	  100000	      3444 ns/op	    5628 B/op	      10 allocs/op
BenchmarkCache2Go/05KB/Set-2            	  100000	      3138 ns/op	    5623 B/op	       9 allocs/op
BenchmarkCache2Go/05KB/Set-2            	  100000	      1777 ns/op	    5623 B/op	       9 allocs/op
BenchmarkCache2Go/05KB/Set-2            	  100000	      1749 ns/op	    5624 B/op	       9 allocs/op
BenchmarkCache2Go/05KB/Set-2            	  100000	      1747 ns/op	    5623 B/op	       9 allocs/op
BenchmarkCache2Go/05KB/Get-2            	  100000	       288.9 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/05KB/Get-2            	  100000	       318.2 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/05KB/Get-2            	  100000	       304.8 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/05KB/Get-2            	  100000	       322.4 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/05KB/Get-2            	  100000	       336.3 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/05KB/Remove-2         	  100000	       402.8 ns/op	      95 B/op	       5 allocs/op
BenchmarkCache2Go/05KB/Remove-2         	  100000	       183.2 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/05KB/Remove-2         	  100000	       171.9 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/05KB/Remove-2         	  100000	       195.8 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/05KB/Remove-2         	  100000	       181.9 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/10KB/Set-2            	  100000	      4846 ns/op	   11132 B/op	      10 allocs/op
