goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-json
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkJsonParser/05KB/Interface@Get-2          	  100000	     62543 ns/op	   19528 B/op	     415 allocs/op
BenchmarkJsonParser/05KB/Interface@Get-2          	  100000	     50904 ns/op	   19528 B/op	     415 allocs/op
BenchmarkJsonParser/05KB/Interface@Get-2          	  100000	     50275 ns/op	   19528 B/op	     415 allocs/op
BenchmarkJsonParser/05KB/Interface@Get-2          	  100000	     53037 ns/op	   19528 B/op	     415 allocs/op
BenchmarkJsonParser/05KB/Interface@Get-2          	  100000	     52574 ns/op	   19528 B/op	     415 allocs/op
BenchmarkJsonParser/10KB/Iterate@Object-2         	  100000	     38222 ns/op	    4023 B/op	     333 allocs/op
BenchmarkJsonParser/10KB/Iterate@Object-2         	  100000	     37789 ns/op	    4023 B/op	     333 allocs/op
BenchmarkJsonParser/10KB/Iterate@Object-2         	  100000	     38088 ns/op	    4023 B/op	     333 allocs/op
BenchmarkJsonParser/10KB/Iterate@Object-2         	  100000	     36753 ns/op	    4023 B/op	     333 allocs/op
BenchmarkJsonParser/10KB/Iterate@Object-2         	  100000	     41526 ns/op	    4023 B/op	     333 allocs/op
BenchmarkJsonParser/10KB/Iterate@Get-2            	  100000	     76838 ns/op	    4023 B/op	     333 allocs/op
BenchmarkJsonParser/10KB/Iterate@Get-2            	  100000	     71997 ns/op	    4023 B/op	     333 allocs/op
BenchmarkJsonParser/10KB/Iterate@Get-2            	  100000	     66044 ns/op	    4023 B/op	     333 allocs/op
BenchmarkJsonParser/10KB/Iterate@Get-2            	  100000	     76735 ns/op	    4023 B/op	     333 allocs/op
BenchmarkJsonParser/10KB/Iterate@Get-2            	  100000	     81284 ns/op	    4023 B/op	     333 allocs/op
BenchmarkJsonParser/10KB/Struct@Object-2          	  100000	     44689 ns/op	   10167 B/op	     334 allocs/op
BenchmarkJsonParser/10KB/Struct@Object-2          	  100000	     47613 ns/op	   10167 B/op	     334 allocs/op
BenchmarkJsonParser/10KB/Struct@Object-2          	  100000	     41016 ns/op	   10167 B/op	     334 allocs/op
BenchmarkJsonParser/10KB/Struct@Object-2          	  100000	     42122 ns/op	   10167 B/op	     334 allocs/op
BenchmarkJsonParser/10KB/Struct@Object-2          	  100000	     42819 ns/op	   10167 B/op	     334 allocs/op
BenchmarkJsonParser/10KB/Struct@Get-2             	  100000	     76265 ns/op	   10167 B/op	     334 allocs/op
BenchmarkJsonParser/10KB/Struct@Get-2             	  100000	     78217 ns/op	   10167 B/op	     334 allocs/op
BenchmarkJsonParser/10KB/Struct@Get-2             	  100000	     69432 ns/op	   10167 B/op	     334 allocs/op
BenchmarkJsonParser/10KB/Struct@Get-2             	  100000	     67930 ns/op	   10167 B/op	     334 allocs/op
BenchmarkJsonParser/10KB/Struct@Get-2             	  100000	     89124 ns/op	   10167 B/op	     334 allocs/op
BenchmarkJsonParser/10KB/Interface@Object-2       	  100000	     83343 ns/op	   38983 B/op	     835 allocs/op
BenchmarkJsonParser/10KB/Interface@Object-2       	  100000	     87336 ns/op	   38983 B/op	     835 allocs/op
BenchmarkJsonParser/10KB/Interface@Object-2       	  100000	     72324 ns/op	   38983 B/op	     835 allocs/op
BenchmarkJsonParser/10KB/Interface@Object-2       	  100000	     73393 ns/op	   38983 B/op	     835 allocs/op
BenchmarkJsonParser/10KB/Interface@Object-2       	  100000	     78545 ns/op	   38983 B/op	     835 allocs/op
BenchmarkJsonParser/10KB/Interface@Get-2          	  100000	    125655 ns/op	   38983 B/op	     835 allocs/op
BenchmarkJsonParser/10KB/Interface@Get-2          	  100000	    113018 ns/op	   38983 B/op	     835 allocs/op
BenchmarkJsonParser/10KB/Interface@Get-2          	  100000	    127327 ns/op	   38983 B/op	     835 allocs/op
BenchmarkJsonParser/10KB/Interface@Get-2          	  100000	    121518 ns/op	   38983 B/op	     835 allocs/op
BenchmarkJsonParser/10KB/Interface@Get-2          	  100000	    114223 ns/op	   38983 B/op	     835 allocs/op
BenchmarkSonic/01KB/Struct@Decode-2               	  100000	      1905 ns/op	    2657 B/op	       7 allocs/op
BenchmarkSonic/01KB/Struct@Decode-2               	  100000	      2191 ns/op	    2650 B/op	       7 allocs/op
BenchmarkSonic/01KB/Struct@Decode-2               	  100000	      2010 ns/op	    2646 B/op	       7 allocs/op
BenchmarkSonic/01KB/Struct@Decode-2               	  100000	      2017 ns/op	    2647 B/op	       7 allocs/op
BenchmarkSonic/01KB/Struct@Decode-2               	  100000	      2174 ns/op	    2653 B/op	       7 allocs/op
BenchmarkSonic/01KB/Struct@Unmarshal-2            	  100000	      2630 ns/op	    2390 B/op	       4 allocs/op
BenchmarkSonic/01KB/Struct@Unmarshal-2            	  100000	      2465 ns/op	    2382 B/op	       4 allocs/op
BenchmarkSonic/01KB/Struct@Unmarshal-2            	  100000	      2366 ns/op	    2387 B/op	       4 allocs/op
BenchmarkSonic/01KB/Struct@Unmarshal-2            	  100000	      2279 ns/op	    2389 B/op	       4 allocs/op
BenchmarkSonic/01KB/Struct@Unmarshal-2            	  100000	      2235 ns/op	    2386 B/op	       4 allocs/op
BenchmarkSonic/01KB/Interface@Decode-2            	  100000	      6188 ns/op	    5971 B/op	      77 allocs/op
BenchmarkSonic/01KB/Interface@Decode-2            	  100000	      6378 ns/op	    5981 B/op	      77 allocs/op
BenchmarkSonic/01KB/Interface@Decode-2            	  100000	      6194 ns/op	    5988 B/op	      77 allocs/op
BenchmarkSonic/01KB/Interface@Decode-2            	  100000	      6578 ns/op	    5977 B/op	      77 allocs/op
BenchmarkSonic/01KB/Interface@Decode-2            	  100000	      9756 ns/op	    5981 B/op	      77 allocs/op
BenchmarkSonic/01KB/Interface@Unmarshal-2         	  100000	      9964 ns/op	    5504 B/op	      71 allocs/op
